Samsung Galaxy A53," 6.5"" Super AMOLED Screen", 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Blue, ₦ 231,0, ₦ 230,0,1%,
Samsung Galaxy S10 Plus 6.4-Inch AMOLED (8GB,128GB ROM) - BLACK, ₦ 125,0, ₦ 185,100,3%,,,,,
Samsung Galaxy A13," 6.6""",4GB/64GB, 5000MAh, Android 12 -Blue, ₦ 105,0, ₦ 103,0,2%,,
Samsung Galaxy A53," 6.5"" Super AMOLED Screen", 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Black, ₦ 145,0, ₦ 230,0,15%,
Samsung Galaxy Tab A7," 10.4"" TFT LCD Screen", 3GB/32GB Memory, 8MP Single Camera, 7040 mAh Battery, Android 10 - Grey, ₦ 59,999, ₦ 156,750,8%,
Samsung Galaxy A23," 6.6"" TFT Screen", 4GB/64GB Memory, 50MP Quad Camera, 5000 mAh Battery, Android 12 - Blue, ₦ 99,810, ₦ 121,798,13%,
Samsung Galaxy A53," 6.5"" Super AMOLED Screen", 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Peach, ₦ 110,0, ₦ 238,998,12%,
Samsung Galaxy A13, 4GB/64GB Memory - Peach, ₦ 231,0, ₦ 103,0,1%,,,,,
Samsung Galaxy A53," 6.5"" Super AMOLED Screen", 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Peach, ₦ 124,0, ₦ 250,0,9%,
Samsung Galaxy S9 Plus (S9+) Single SIM,  6.2-Inch QHD (6GBRAM, 64GB ROM) 4G LTE Android 9.0 Smartphone Black, ₦ 124,0, ₦ 123,0,9%,,,,
Samsung Galaxy A53," 6.5"" Super AMOLED Screen", 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Black, ₦ 154,500, ₦ 239,408,1%,
Samsung Galaxy A03 Core, 2GB/32GB Memory - Bronze, ₦ 210,0, ₦ 54,990,7%,,,,,
Samsung Galaxy A03s - 4/64GB Memory, Triple Rear Camera, Dual SIM,5,000Mah Battery, Fingerprint, 4G LTE - Black, ₦ 45,999, ₦ 86,500,48%
Samsung Tab A7 Lite, 8.7 TFT Screen, 3GB/32GB Memory, 8MP Single Camera, 5100 mAh Battery, Android 11 - Silver, ₦ 229,900, ₦ 96,331,35%,
Samsung Galaxy S9 5.8-Inch QHD (4GB, 64GB ROM)  Purple With Free Screen Protector, ₦ 232,0, ₦ 110,0,8%,,,,,
"Samsung Galaxy M32 -6.5""6GB RAM 128GB ROM 5000mAh 5G Dual Sim- Blue", ₦ 232,0, ₦ 148,0,8%,,,,,,
Samsung Galaxy A53," 6.5"" Super AMOLED Screen", 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Blue, ₦ 232,0, ₦ 239,408,8%,
Samsung Galaxy A53," 6.5"" Super AMOLED Screen", 6GB/128GB Memory, 64MP Quad Camera, 5000 mAh Battery, Android 12 - Blue, ₦ 45,999, ₦ 230,0,48%,
Samsung Galaxy A23, 4GB/64GB Memory, 5000 MAh Battery - Blue, ₦ 49,999, ₦ 113,300,32%,,,,
Samsung Galaxy A23, 4GB/64GB Memory, 5000 MAh Battery - Black, ₦ 120,0, ₦ 113,300,12%,,,,
Samsung Galaxy M32 LTE Dual SIM Smartphone, 128GB+ 6GB RAM -6.4'' -6000mAh-(64MP+8MP+2MP+2MP) +20MP Selfie- Light Blue, ₦ 900,0, ₦ 153,0,17%,,,,,
Samsung Galaxy A52, 6.5-Inch (8GB RAM, 128GB ROM) Android 11, (64MP + 12MP + 5MP + 5MP) + 32MP  4G, Dual SIM - Awesome Black, ₦ 180,0, ₦ 195,0,13%,,
